id,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
25839052,97%,99%,t,f,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,$750.00,2.7,446.6,17,45,75,263,39,14,2,4.87,4.87,4.92,4.92,4.92,4.95,4.82,0.68
24829385,100%,100%,t,t,Entire serviced apartment,Entire home/apt,2,1 bath,,1.0,"$1,800.00",2.0,1125.0,3,20,49,208,137,39,0,4.96,5.0,5.0,5.0,5.0,5.0,4.98,2.3
25839395,,0%,f,f,Private room in rental unit,Private room,2,1 shared bath,2.0,1.0,$500.00,1.0,1125.0,29,59,89,89,9,0,0,4.25,4.63,4.63,4.0,4.75,4.5,4.63,0.15
25286333,,,f,t,Private room in home,Private room,2,1 shared bath,1.0,2.0,$300.00,1.0,1125.0,0,0,0,0,12,0,0,4.91,5.0,5.0,4.83,5.0,4.92,4.92,0.2
24851921,100%,100%,t,t,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"$1,359.00",2.0,360.0,4,19,25,65,159,32,3,4.87,4.91,4.99,4.88,4.95,4.99,4.86,2.72
25294124,100%,97%,f,t,Private room in home,Private room,6,1.5 baths,2.0,3.0,$400.00,2.0,1125.0,25,51,75,350,61,17,1,4.87,4.9,4.98,4.87,4.93,4.92,4.92,1.04
25842030,100%,100%,f,t,Entire loft,Entire home/apt,2,1 bath,1.0,1.0,"$1,160.00",2.0,1125.0,6,34,64,339,187,35,4,4.74,4.92,4.9,4.84,4.91,4.94,4.83,3.2
24854024,86%,100%,f,t,Entire rental unit,Entire home/apt,3,1 bath,1.0,2.0,$650.00,1.0,1125.0,0,28,58,333,79,24,2,4.89,4.94,4.89,4.99,4.94,4.95,4.85,1.33
24854832,,100%,f,t,Entire home,Entire home/apt,4,2 baths,2.0,2.0,"$2,342.00",4.0,1125.0,0,0,0,0,25,4,0,4.96,4.88,5.0,4.92,5.0,4.96,4.96,0.43
24869457,100%,100%,t,t,Private room in condo,Private room,3,1 private bath,1.0,1.0,$560.00,1.0,1125.0,0,0,0,6,176,37,0,4.78,4.89,4.93,4.86,4.94,4.95,4.84,3.02
25842623,100%,71%,f,t,Entire rental unit,Entire home/apt,4,3 baths,2.0,2.0,"$1,634.00",2.0,1125.0,0,0,0,25,24,0,0,4.83,4.88,4.71,5.0,5.0,5.0,4.75,0.42
25843194,100%,100%,t,t,Entire loft,Entire home/apt,2,1 bath,1.0,1.0,"$1,624.00",3.0,1125.0,5,28,31,53,127,41,3,4.83,4.91,4.94,4.85,4.91,4.87,4.81,2.19
25294934,100%,97%,f,t,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,$750.00,2.0,1125.0,30,60,90,365,105,27,1,4.75,4.74,4.81,4.9,4.78,4.92,4.74,1.81
25310578,,,f,f,Private room in condo,Private room,2,1 private bath,1.0,1.0,$650.00,1.0,30.0,0,0,0,2,0,0,0,,,,,,,,
24870135,100%,100%,t,t,Entire loft,Entire home/apt,4,2.5 baths,2.0,3.0,"$3,099.00",2.0,1125.0,8,20,49,312,97,11,3,4.85,4.93,5.0,5.0,4.89,4.96,4.89,1.8
24887959,90%,100%,f,t,Entire rental unit,Entire home/apt,4,2 baths,2.0,3.0,"$1,200.00",3.0,1125.0,28,58,88,363,3,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.05
25320400,100%,100%,t,t,Private room in condo,Private room,2,1 private bath,1.0,2.0,$913.00,3.0,1125.0,7,23,28,292,47,36,3,4.98,4.98,4.96,4.96,4.98,4.96,4.96,2.77
25843455,100%,63%,f,t,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,$300.00,3.0,1125.0,22,52,82,82,2,1,0,5.0,5.0,3.5,4.0,5.0,5.0,5.0,0.03
25860462,100%,100%,t,t,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,"$1,250.00",1.0,8.0,11,33,63,243,214,41,3,4.82,4.88,4.89,4.93,4.9,4.93,4.84,3.7
25326247,100%,100%,t,t,Entire loft,Entire home/apt,2,1 bath,1.0,2.0,$680.00,1.0,1125.0,12,42,72,186,97,21,1,4.85,4.92,4.97,4.81,4.93,4.85,4.87,1.65
24893426,100%,100%,t,t,Entire loft,Entire home/apt,2,1.5 baths,1.0,2.0,"$2,119.00",1.3,1125.0,2,8,23,236,176,58,3,4.83,4.91,4.94,4.96,4.95,4.97,4.82,3.29
25864314,,100%,t,t,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,$591.00,7.0,1125.0,0,0,0,87,20,0,0,4.85,4.85,4.9,4.9,5.0,4.75,4.7,0.41
25868032,100%,100%,t,t,Private room,Private room,2,1 private bath,1.0,1.0,$526.00,2.0,1125.0,19,49,79,354,82,22,2,4.85,4.89,4.87,4.82,4.79,4.93,4.76,1.42
24893597,100%,100%,t,t,Entire loft,Entire home/apt,4,2.5 baths,2.0,3.0,"$3,250.00",2.0,1125.0,12,31,61,325,125,40,3,4.88,4.85,4.94,4.94,4.97,4.97,4.79,2.3
24894999,100%,100%,t,t,Entire condo,Entire home/apt,4,2 baths,2.0,3.0,"$1,429.00",2.0,1125.0,16,35,35,157,136,28,0,4.99,4.98,4.98,4.93,4.98,4.92,4.95,2.29
25873990,,,f,t,Room in boutique hotel,Private room,8,5 baths,4.0,7.0,"$18,290.00",2.0,7.0,23,53,83,83,0,0,0,,,,,,,,
25340733,100%,100%,f,t,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,"$1,180.00",21.0,200.0,0,21,51,51,12,1,1,4.64,4.82,4.73,4.27,4.82,4.82,4.64,0.2
25343211,100%,99%,f,t,Private room in rental unit,Private room,2,2 shared baths,1.0,1.0,$599.00,1.0,1125.0,14,44,74,349,181,59,1,4.62,4.66,4.8,4.56,4.8,4.89,4.68,3.14
