id,property_type,room_type,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
676014875257925088,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,3097.0,1.0,365.0,26,50,80,355,10.0,10.0,2.0,4.8,4.9,4.6,4.3,4.9,5.0,4.7,1.23
679216633094145821,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1483.0,1.0,1125.0,16,43,73,340,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,4.9,4.8,0.12
681195688136229322,Private room in guest suite,Private room,0.98,1.0,0.0,1.0,2.0,1.0,1.0,1.0,218.0,1.0,365.0,21,51,81,356,13.0,13.0,2.0,4.31,4.69,4.62,4.23,4.54,4.69,4.46,1.84
681219237974019828,Entire serviced apartment,Entire home/apt,0.92,0.99,1.0,1.0,8.0,3.0,3.0,4.0,4211.0,2.0,365.0,10,27,49,213,9.0,9.0,3.0,5.0,5.0,5.0,5.0,5.0,4.89,4.89,1.44
679224005650980646,Entire loft,Entire home/apt,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1150.0,2.0,365.0,11,36,62,323,57.0,57.0,3.0,4.81,4.84,4.81,4.86,4.82,4.93,4.75,1.6
676030196282597313,Entire rental unit,Entire home/apt,1.0,0.79,0.0,1.0,4.0,1.0,2.0,2.0,1700.0,1.0,365.0,29,59,72,72,4.0,4.0,0.0,4.25,4.5,4.75,4.75,5.0,4.5,4.25,0.85
676062083643609061,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1.0,6.0,2.0,3.0,3.0,4040.0,1.0,1125.0,19,46,73,348,18.0,18.0,2.0,4.83,4.94,4.83,4.78,4.89,5.0,4.72,2.18
681231903688750099,Entire guest suite,Entire home/apt,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1200.0,2.0,1125.0,2,32,62,337,10.0,10.0,3.0,5.0,5.0,5.0,5.0,5.0,4.8,4.9,1.3
676064298778112157,Private room in rental unit,Private room,0.94,1.0,0.0,1.0,2.0,1.0,1.0,1.0,457.0,2.0,1125.0,7,37,67,247,9.0,9.0,0.0,4.78,4.89,4.33,4.78,4.67,5.0,5.0,1.49
676078636852453530,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1.0,6.0,2.0,3.0,6.0,1246.0,1.0,140.0,20,50,80,355,22.0,22.0,5.0,4.95,4.91,5.0,4.95,5.0,4.95,4.91,3.22
679314552536681646,Private room in condo,Private room,1.0,0.99,1.0,1.0,2.0,1.0,1.0,1.0,460.0,1.0,1125.0,0,0,16,254,47.0,47.0,5.0,4.91,4.96,4.85,4.98,4.94,4.55,4.94,5.73
681243612784168307,Entire condo,Entire home/apt,1.0,0.85,1.0,1.0,4.0,2.0,2.0,3.0,600.0,1.0,365.0,0,0,26,301,3.0,3.0,0.0,5.0,5.0,4.33,4.67,4.33,4.33,5.0,0.39
681252032170919524,Entire serviced apartment,Entire home/apt,1.0,0.94,1.0,1.0,2.0,1.0,1.0,2.0,700.0,2.0,1125.0,0,1,31,137,29.0,29.0,1.0,4.97,4.93,4.97,5.0,4.93,4.9,4.9,4.2
679544601625890393,Entire loft,Entire home/apt,0.9,0.98,0.0,1.0,2.0,1.0,1.0,2.0,1116.0,1.0,365.0,20,42,72,347,13.0,13.0,0.0,4.31,4.46,4.0,4.08,3.69,4.31,4.08,1.61
676186459565417687,Private room in vacation home,Private room,0.9,1.0,0.0,1.0,1.0,1.0,1.0,2.0,420.0,2.0,365.0,21,50,80,355,6.0,6.0,2.0,5.0,5.0,5.0,4.67,5.0,5.0,4.83,0.77
681273879535606133,Entire serviced apartment,Entire home/apt,0.92,0.99,1.0,1.0,6.0,2.0,2.0,3.0,3985.0,2.0,365.0,11,28,50,214,2.0,2.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.29
676231026994117567,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2000.0,2.0,1125.0,0,26,38,301,10.0,10.0,1.0,5.0,5.0,5.0,4.9,5.0,4.8,4.8,1.2
676247070890337044,Entire loft,Entire home/apt,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,800.0,1.0,365.0,18,48,78,353,61.0,61.0,5.0,4.85,4.77,4.92,4.9,4.92,4.41,4.72,1.6
679549651890026180,Private room in home,Private room,1.0,1.0,0.0,1.0,3.1,4.0,3.0,1.8,3303.0,1.0,365.0,30,60,90,365,2.0,2.0,0.0,4.5,5.0,5.0,4.0,5.0,4.9,4.0,0.26
679549700464878779,Private room in townhouse,Private room,1.0,1.0,0.0,1.0,5.0,2.0,1.0,3.0,369.0,1.0,365.0,26,54,82,357,24.0,24.0,3.0,4.54,4.46,4.54,4.33,4.67,4.67,4.54,3.03
679591593324318238,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3342.0,1.0,1125.0,19,49,79,354,24.0,24.0,0.0,4.83,4.92,4.83,4.88,5.0,4.92,4.83,2.94
681279151810278422,Entire condo,Entire home/apt,1.0,0.99,0.0,1.0,9.0,3.0,3.0,5.0,3740.0,2.0,1125.0,20,43,73,347,5.0,5.0,0.0,4.2,4.2,4.0,3.8,4.0,5.0,4.2,0.64
